key	text	tooltip
#Loc;1;text/db/fro_settlements.loc		
battlefield_buildings_names_global_effects_description_fro_nuln_garrison_headquarters		true
battlefield_buildings_names_global_effects_description_fro_nuln_industrielplatz		true
battlefield_buildings_names_global_effects_description_fro_nuln_marktplatz		true
battlefield_buildings_names_global_effects_description_fro_nuln_palace		true
battlefield_buildings_names_global_effects_description_fro_nuln_university_of_magic		true
battlefield_buildings_names_local_effects_description_fro_nuln_garrison_headquarters		true
battlefield_buildings_names_local_effects_description_fro_nuln_industrielplatz		true
battlefield_buildings_names_local_effects_description_fro_nuln_marktplatz		true
battlefield_buildings_names_local_effects_description_fro_nuln_palace		true
battlefield_buildings_names_local_effects_description_fro_nuln_university_of_magic		true
battlefield_buildings_names_onscreen_name_fro_nuln_garrison_headquarters	Garrison Headquarters	true
battlefield_buildings_names_onscreen_name_fro_nuln_industrielplatz	Industrielplazt	true
battlefield_buildings_names_onscreen_name_fro_nuln_marktplatz	Marktplatz	true
battlefield_buildings_names_onscreen_name_fro_nuln_palace	Palace	true
battlefield_buildings_names_onscreen_name_fro_nuln_university_of_magic	University of Magic	true
special_ability_phases_onscreen_name_fro_nuln_garrison_headquarters		true
special_ability_phases_onscreen_name_fro_nuln_industrielplatz		true
special_ability_phases_onscreen_name_fro_nuln_marktplatz		true
special_ability_phases_onscreen_name_fro_nuln_palace		true
special_ability_phases_onscreen_name_fro_nuln_palace_unbreakable		true
special_ability_phases_onscreen_name_fro_nuln_university_of_magic		true
unit_abilities_onscreen_name_fro_nuln_garrison_headquarters	Garrison Armaments	true
unit_abilities_onscreen_name_fro_nuln_industrielplatz	Industrielplazt	true
unit_abilities_onscreen_name_fro_nuln_marktplatz	Marktplatz	true
unit_abilities_onscreen_name_fro_nuln_palace	Palace	true
unit_abilities_onscreen_name_fro_nuln_university_of_magic	University of Magic	true
unit_abilities_tooltip_text_fro_nuln_garrison_headquarters	The best weapons and armours the engineers of Nuln can offer.	true
unit_abilities_tooltip_text_fro_nuln_industrielplatz	If you need something to defend yourself and you're not part of the garrison, here's where you get it.	true
unit_abilities_tooltip_text_fro_nuln_marktplatz	Supplies for the tired!	true
unit_abilities_tooltip_text_fro_nuln_palace	The Great Palace of Nuln, a symbol of the city... which must never fall.	true
unit_abilities_tooltip_text_fro_nuln_university_of_magic	The mages at the University of Magic may not be as famous as the ones from other cities, but sure they can burn you down to a crisp if you tell them so.	true
